user,item
3537,100000132
3538,100000132
3543,100000132
3551,100000132
3563,100000132
4764,100000238
4765,100000238
4766,100000238
4795,100000238
4816,100000238
4820,100000238
4822,100000238
4841,100000238
4842,100000238
12327,100000224
12334,100000224
12343,100000224
1530,100000224
12358,100000224
12368,100000224
4816,100000095
23373,100000095
2516,100000095
23375,100000095
23382,100000095
23996,100000191
24077,100000191
24079,100000191
3344,100000191
3344,100000191
24188,100000191
24191,100000191
24194,100000191
24242,100000191
27723,100000553
27731,100000553
27759,100000553
27760,100000553
27762,100000553
27767,100000553
27773,100000553
27783,100000553
27798,100000553
27806,100000553
27817,100000553
27832,100000553
6834,100000553
27836,100000553
3299,100000553
6079,100000553
27492,100000553
35661,100000530
10038,100000530
24194,100000530
35668,100000530
1938,100001009
48687,100001009
48846,100001009
48863,100001009
48864,100001009
48865,100001009
48868,100001009
48884,100001009
48886,100001009
48888,100001009
3344,100001009
3344,100001009
3344,100001009
3344,100001009
48957,100001009
25508,100001009
21407,100001009
48977,100001009
48982,100001009
2576,100001009
48999,100001009
49001,100001009
2513,100001009
49004,100001009
25858,100001009
49022,100001009
38771,100001009
49024,100001009
49067,100001009
49068,100001009
19468,100001009
19468,100001009
2594,100001009
49086,100001009
49103,100001009
44986,100001009
38333,100001009
1938,100001074
50866,100001074
50894,100001074
14340,100001074
50992,100001074
51046,100001074
51085,100001074
51183,100001074
24305,100001074
51249,100001074
51448,100001074
51504,100001074
51539,100001074
51541,100001074
48657,100001074
51800,100001074
52073,100001074
52207,100001074
50830,100001074
25653,100001074
52279,100001074
52398,100001074
52441,100001074
30738,100001074
52484,100001074
12048,100001074
52543,100001074
5109,100001074
3344,100001074
3344,100001074
3344,100001074
52699,100001074
25653,100001074
19257,100001074
35239,100001074
48868,100001074
39016,100001074
52833,100001074
52843,100001074
14345,100001074
52863,100001074
52864,100001074
52865,100001074
47424,100001074
43046,100001074
22541,100001074
52991,100001074
24665,100001074
88,100001074
25508,100001074
53046,100001074
53071,100001074
53127,100001074
49685,100001074
53131,100001074
53200,100001074
52947,100001074
22723,100001074
53225,100001074
2576,100001074
49001,100001074
49024,100001074
53262,100001074
2513,100001074
3299,100001074
53293,100001074
52826,100001074
22723,100001074
49004,100001074
52949,100001074
22723,100001074
53337,100001074
48982,100001074
2528,100001074
53361,100001074
21113,100001074
53247,100001074
45970,100001074
10038,100001074
53376,100001074
53061,100001074
2552,100001074
49227,100001074
53436,100001074
53437,100001074
25765,100001074
53451,100001074
53454,100001074
1524,100001074
53479,100001074
53490,100001074
2594,100001074
49086,100001074
46040,100001074
53508,100001074
53509,100001074
53343,100001074
53532,100001074
53144,100001074
38333,100001074
53572,100001074
21616,100001074
53576,100001074
53580,100001074
53917,100001041
53919,100001041
16268,100001041
53950,100001041
53953,100001041
53964,100001041
53979,100001041
53994,100001041
53996,100001041
53999,100001041
54000,100001041
54044,100001041
54046,100001041
54060,100001041
54069,100001041
54072,100001041
54085,100001041
41068,100001041
54088,100001041
54089,100001041
54100,100001041
54101,100001041
54108,100001041
54110,100001041
1530,100001041
2576,100001041
54115,100001041
846,100001041
4822,100001041
54118,100001041
54119,100001041
1938,100001000
54675,100001090
54676,100001090
54716,100001090
54784,100001090
54805,100001090
54821,100001090
47505,100001000
54841,100001090
54842,100001090
54843,100001090
54844,100001090
51249,100001000
3344,100001000
3344,100001000
55001,100001000
55001,100001000
55056,100001000
51539,100001000
8540,100001000
12984,100001000
19724,100001000
3344,100001000
3344,100001000
3344,100001000
3344,100001000
3344,100001000
3344,100001000
3344,100001000
55363,100001000
47649,100001000
55367,100001000
54062,100001000
52924,100001000
53131,100001000
49001,100001000
2513,100001000
53262,100001000
21407,100001000
52949,100001000
2528,100001000
38630,100001000
2576,100001000
49004,100001000
45970,100001000
43668,100001000
50003,100001000
43668,100001000
43668,100001000
53327,100001000
49227,100001000
5450,100001000
55664,100001000
53451,100001000
53589,100001000
55666,100001000
2594,100001000
49086,100001000
56267,100001078
56270,100001078
16530,100001078
56273,100001078
56293,100001078
56294,100001078
56296,100001078
56315,100001078
56316,100001078
56318,100001078
65999,100001409
66000,100001409
3378,100001409
57540,100001409
66017,100001409
28151,100001409
32861,100001409
22335,100001409
66442,100000995
49086,100000995
5128,100000995
24305,100000995
66484,100000995
66534,100000995
51539,100000995
55001,100000995
9150,100000995
66706,100000995
66719,100000995
66735,100000995
66785,100000995
3344,100000995
66812,100000995
53131,100000995
66859,100000995
5450,100000995
5450,100000995
49024,100000995
68885,100001110
68887,100001110
67163,100001110
68920,100001110
68935,100001110
3854,100001110
68964,100001110
6179,100001110
57540,100001110
53046,100001110
16137,100001110
57554,100001110
69043,100001110
8295,100001110
69063,100001110
