user,item
3536,100000132
3537,100000132
3538,100000132
3543,100000132
3545,100000132
3549,100000132
3550,100000132
3551,100000132
3555,100000132
3561,100000132
3563,100000132
4764,100000238
4765,100000238
4766,100000238
4767,100000238
4789,100000238
4795,100000238
4816,100000238
4817,100000238
4818,100000238
4819,100000238
4820,100000238
4822,100000238
4837,100000238
4841,100000238
4842,100000238
12239,100000224
9126,100000224
12272,100000224
12278,100000224
12291,100000224
12297,100000224
12311,100000224
12322,100000224
12327,100000224
12328,100000224
12334,100000224
12338,100000224
12342,100000224
12343,100000224
12345,100000224
12348,100000224
1530,100000224
12353,100000224
12354,100000224
12358,100000224
12368,100000224
23369,100000095
4816,100000095
23373,100000095
2516,100000095
23374,100000095
23375,100000095
23382,100000095
23991,100000191
23996,100000191
24049,100000191
24077,100000191
24079,100000191
24082,100000191
24084,100000191
24097,100000191
24098,100000191
24134,100000191
3344,100000191
3344,100000191
24138,100000191
24165,100000191
24167,100000191
24188,100000191
24191,100000191
24194,100000191
24228,100000191
24229,100000191
8805,100000191
24242,100000191
27710,100000553
27723,100000553
27731,100000553
27745,100000553
27759,100000553
27760,100000553
27762,100000553
27763,100000553
27767,100000553
27768,100000553
27773,100000553
27779,100000553
27783,100000553
27784,100000553
27785,100000553
27786,100000553
27798,100000553
27800,100000553
27805,100000553
27806,100000553
27815,100000553
27817,100000553
27822,100000553
27831,100000553
27832,100000553
27710,100000553
6834,100000553
27836,100000553
3299,100000553
6079,100000553
27492,100000553
35661,100000530
35665,100000530
35666,100000530
10038,100000530
24194,100000530
35668,100000530
35669,100000530
1938,100001009
48664,100001009
48498,100001009
48665,100001009
48687,100001009
12466,100001009
48725,100001009
48726,100001009
48750,100001009
48756,100001009
48774,100001009
48777,100001009
48778,100001009
48796,100001009
48798,100001009
48800,100001009
48803,100001009
48816,100001009
48817,100001009
48819,100001009
48821,100001009
48823,100001009
48824,100001009
48840,100001009
48842,100001009
48845,100001009
48846,100001009
48862,100001009
48863,100001009
48864,100001009
48865,100001009
48866,100001009
48867,100001009
48868,100001009
48884,100001009
48885,100001009
48886,100001009
48888,100001009
3344,100001009
3344,100001009
3344,100001009
3344,100001009
48906,100001009
48907,100001009
48925,100001009
48926,100001009
48928,100001009
25506,100001009
48957,100001009
48959,100001009
25508,100001009
21407,100001009
48976,100001009
48977,100001009
48978,100001009
48979,100001009
25527,100001009
48982,100001009
2576,100001009
48999,100001009
49001,100001009
2513,100001009
49003,100001009
49004,100001009
49005,100001009
49021,100001009
25858,100001009
49022,100001009
38771,100001009
49024,100001009
8627,100001009
49067,100001009
8562,100001009
49068,100001009
49072,100001009
19468,100001009
19468,100001009
49085,100001009
2594,100001009
49086,100001009
49087,100001009
49103,100001009
49104,100001009
49105,100001009
44986,100001009
38333,100001009
49108,100001009
1938,100001074
50819,100001074
50842,100001074
50862,100001074
50865,100001074
50866,100001074
50879,100001074
50893,100001074
50894,100001074
14340,100001074
50915,100001074
50916,100001074
50917,100001074
50931,100001074
50935,100001074
50952,100001074
50953,100001074
50968,100001074
50971,100001074
50972,100001074
50974,100001074
50986,100001074
50987,100001074
50992,100001074
51007,100001074
51009,100001074
51012,100001074
39266,100001074
51024,100001074
51025,100001074
51046,100001074
51066,100001074
51067,100001074
51078,100001074
51082,100001074
51083,100001074
51085,100001074
45943,100001074
51111,100001074
51113,100001074
51115,100001074
39346,100001074
51120,100001074
51122,100001074
51123,100001074
51148,100001074
49195,100001074
51183,100001074
23672,100001074
24305,100001074
6586,100001074
51230,100001074
51244,100001074
51246,100001074
51249,100001074
51251,100001074
51271,100001074
51272,100001074
